Date,Value
2021-12-31,36.63963123201049
2020-12-31,32.47957595551628
2019-12-31,29.8362305406569
2018-12-31,27.47055105274523
2017-12-31,23.341752092218293
2016-12-31,20.208582948353893
2015-12-31,18.836698544101367
2014-12-31,18.22460425903338
2013-12-31,16.629678621596373
2012-12-31,14.557898601188509
2011-12-31,13.077345775138902
2010-12-31,10.533836986913448
2009-12-31,8.729400453285066
2008-12-31,7.9055544184207625
2007-12-31,6.8769643980095205
2006-12-31,5.590722951861262
2005-12-31,4.544959151365261
2004-12-31,3.8579792489285496
2003-12-31,3.3064905225106846
2002-12-31,2.8458363633641572
2001-12-31,2.6747975413609795
2000-12-31,2.382846940441377
1999-12-31,2.0959569214003966
1998-12-31,1.9753326210480993
1997-12-31,1.9155567955703643
1996-12-31,1.8078245367018406
1995-12-31,1.729890936337724
1994-12-31,1.7122409780808396
1993-12-31,1.63481519434622
1992-12-31,1.5355325139603047
1991-12-31,1.5104853778957918
1990-12-31,1.4917627702420804
1989-12-31,1.467481888441173
1988-12-31,1.3867443729622513
1987-12-31,1.3544636474481955
1986-12-31,1.3417868818493284
1985-12-31,1.2608506091796379
1984-12-31,1.2087820866704613
1983-12-31,1.1906408304782194
1982-12-31,1.16333702764989
1981-12-31,1.2423230286889855
1980-12-31,1.387716844472042
1979-12-31,1.4149220679966392
1978-12-31,1.3388614744034357
1977-12-31,1.1818646081405422
1976-12-31,0.9821962248891116
1975-12-31,0.8629951965382671
1974-12-31,0.7342772689190001
1973-12-31,0.5831312175478913
1972-12-31,0.47067621073894067
1971-12-31,0.36470079492125645
1970-12-31,0.2798639789903759
1969-12-31,0.1911266197983055
1968-12-31,0.13614601137076796
1967-12-31,0.14236982903343165
1966-12-31,0.13066819924986192
1965-12-31,0.10726493968272248
