Date,Value
2021-12-31,718.4894056591509
2020-12-31,675.7420999999998
2019-12-31,666.9465000000001
2018-12-31,634.8738999999999
2017-12-31,605.7323000726313
2016-12-31,574.3583799740421
2015-12-31,557.0297812554988
2014-12-31,518.0764070912221
2013-12-31,498.2083338308491
2012-12-31,477.31526345079476
2011-12-31,455.5308375513337
2010-12-31,440.83636267629123
2009-12-31,385.93876687000045
2008-12-31,370.86773115514234
2007-12-31,363.1958052031401
2006-12-31,346.5824631510001
2005-12-31,323.605626697
2004-12-31,318.81700816999995
2003-12-31,273.0021
2002-12-31,244.06818000000004
2001-12-31,225.71308000000005
2000-12-31,221.14855000000006
1999-12-31,205.03825999999995
1998-12-31,192.80095000000003
1997-12-31,187.51805000000004
1996-12-31,170.30762
1995-12-31,153.52349999999998
1994-12-31,142.43779999999998
1993-12-31,139.80010000000001
1992-12-31,126.11099999999999
1991-12-31,116.43199999999997
1990-12-31,107.75600000000001
1989-12-31,108.92700000000002
1988-12-31,104.061
1987-12-31,96.73799999999999
1986-12-31,91.05800000000002
1985-12-31,85.74500000000002
1984-12-31,82.114
1983-12-31,79.216
1982-12-31,77.816
1981-12-31,78.748
1980-12-31,83.14500000000001
1979-12-31,91.10000000000001
1978-12-31,91.25
1977-12-31,82.4
1976-12-31,78.03
1975-12-31,68.25
1974-12-31,61.89
1973-12-31,53.83
1972-12-31,44.175
1971-12-31,38.42999999999999
1970-12-31,28.191
1969-12-31,20.377000000000002
1968-12-31,15.200000000000003
1967-12-31,13.900000000000002
1966-12-31,14.074000000000002
1965-12-31,10.959999999999997
