Date,Value
2020-12-31,107.80423919999998
2019-12-31,107.80423919999998
2018-12-31,107.2207794
2017-12-31,106.591534
2016-12-31,106.28289
2015-12-31,102.37519999999999
2014-12-31,103.16389199999999
2013-12-31,105.0164164
2012-12-31,105.49158600000001
2011-12-31,105.7094496
2010-12-31,105.80035179999999
2009-12-31,105.563953
2008-12-31,106.36616599999999
2007-12-31,106.42702900000002
2006-12-31,104.033724
2005-12-31,104.404815
2004-12-31,105.46368
2003-12-31,107.76669899999999
2002-12-31,109.6772506
2001-12-31,111.295177
2000-12-31,112.11202259999999
1999-12-31,112.11202259999999
1998-12-31,113.1119934
1997-12-31,113.1119934
1996-12-31,113.60723100000001
1995-12-31,113.60723100000001
1994-12-31,115.07668300000002
1993-12-31,115.07668300000002
1992-12-31,116.14926500000001
1991-12-31,116.14926500000001
