,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31,1984-12-31,1983-12-31,1982-12-31,1981-12-31,1980-12-31,1979-12-31,1978-12-31,1977-12-31,1976-12-31,1975-12-31,1974-12-31,1973-12-31,1972-12-31,1971-12-31,1970-12-31,1969-12-31,1968-12-31,1967-12-31,1966-12-31,1965-12-31
GAS_PROD_DEU,4.536816480000001,4.53242034,5.330759364,5.541774084,6.376161456,6.923041271999999,7.524433223999999,8.082743004,8.604125208,9.461372508,10.465450884,11.123992656,12.746168316,13.635067823999998,14.969735928,16.342210836,16.542674820000002,17.133516035999996,18.515662452,17.78678244,17.833381524,17.665448976,18.678319632,17.486965692,17.89668594,18.206174196,16.811718587999998,16.29209484,15.5403549,15.615968508,15.39528228,15.024625,15.32025,14.638425000000002,15.73055,14.01515,17.1077,18.05255,18.3713,16.620250000000002,18.932575,18.48155,20.300475,20.27125,19.6066,19.720975000000003,19.1252,20.6037,19.83745,17.718575,14.799725,12.012975,,,,,
GAS_PROD_D_DEU,0.4389483361083111,0.4373248483039962,0.5157642949272655,0.5361804966067217,0.616909560747572,0.667991436575299,0.7280077248866135,0.782025591830175,0.8324706234798317,0.91291031864196,1.012558535794036,1.0762740985353392,1.2332236489461597,1.3156224534429437,1.4483593741434309,1.5811497525668945,1.6005451441623784,1.6531812451794323,1.791436629865295,1.7209156665641727,1.7254242444350525,1.7045064698591452,1.807174118659876,1.691907646677945,1.7315491049388898,1.75668004536001,1.6265758013036848,1.576300904668024,1.5035681861849606,1.5067558934485503,1.4895320475303344,1.4536700290775997,1.4822724868658017,1.4124345299656007,1.5219700375820782,1.3560007992230698,1.655212742843888,1.7418571310732196,1.77746920174003,1.6080507367589525,1.831773961131398,1.783250546919204,1.964121705768968,1.9612941139588695,1.8969875648884984,1.902840370776799,1.850410911428066,1.9934594825565448,1.919322879494525,1.7096325015693452,1.4319103918460845,1.1622853627001322,,,,,
GAS_PROD_O_DEU,,,,,,,6.47101257264,6.95115898344,7.39954767888,8.13678035688,9.00028776024,9.56663368416,10.96170475176,11.72615832864,12.87397289808,14.05430131896,14.2267003452,14.73482379096,15.92346970872,15.2966328984,15.33670811064,15.19228611936,16.06335488352,15.03879049512,15.3911499084,15.65730980856,14.45807798568,14.0112015624,13.364705214,13.42973291688,13.2399427608,14.333,14.16,15.025,16.658,15.021,15.682,17.383,16.53,15.458,17.229,16.67,18.243,18.186,17.006,16.766,15.92,17.494,16.667,14.831,12.418,9.944,,,,,
GAS_RESERVES_DEU,,0.0196595380799999,0.0218048544,0.0266406084,0.0326193588,0.0370154988,0.0407961792,0.0450164735999999,0.05495175,0.062425188,0.069898626,0.0766686816,0.0864281124,0.1109585736,0.1303895124,0.1432262412,0.1643277132,0.1769006735999999,0.1907045532,0.2113664112,0.223763526,0.2320528875839999,0.237416178384,0.200602902024,0.201296612916,0.215426686104,0.2111668264439999,0.2164499999999999,0.19305,0.19305,0.190125,0.2115749999999999,0.342225,0.353925,0.3666,0.37245,0.2886,0.2983499999999999,0.312,0.234975,0.2418,0.258375,,,,,,,,,,,,,,,
GEO_CAP_DEU,,40.0,40.0,35.0,32.0,33.0,29.0,29.0,26.0,16.0,6.0,8.0,8.0,3.0,3.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
GEO_CONSUM_DEU,50.900000000000006,51.092000000000006,50.323,50.972,51.08,51.103,50.459,48.385,45.593,43.2284,36.9098,33.9517,30.9048,28.0316,24.6164,18.9344,14.7062,10.635514000000002,8.948651,6.4,5.2,3.4,2.94,2.718,2.297,2.143,2.049,1.906,1.663,1.562,1.511,1.435,1.749267893,1.637881804,1.445849294,1.595569556,1.644029738,1.642944808,1.540238155,1.798813004,1.804237651,1.96625378,1.443317792,1.317465978,1.246583921,1.277685232,1.124710181,1.07625,1.0531048390000002,1.01874874,1.001028226,0.9200201613,0.0,0.0,0.0,0.0,0.0
GEO_CONSUM_O_DEU,,,,11.6389102593,11.5612979137,11.5633343893,11.4176132507,10.9483187763,10.3165588089,9.7815088021,8.35176720822,7.68242295334,6.99298547314,6.29261890754,5.5128297959,4.23143413133,3.24799746572,2.36937140788,2.00049780513,1.36851156266,1.17979816265,1.07050730868,0.811196089967,0.736751595239,0.514323211296,0.474725075802,0.454812870525,0.42426573743,0.369959723039,0.352536543422,0.332850613205,0.324704711047,0.39581569738,0.370611803412,0.327159635697,0.361037596959,0.372002927547,0.371757434946,0.34851748088,0.407026520342,0.408253982667,0.444914191972,0.32658681993,0.298109693171,0.282070851473,0.289108302484,0.254493863647,0.243528533285,0.238291360592,0.230517432231,0.226507721863,0.208177617165,0.0,0.0,0.0,0.0,0.0
HYDRO_CONSUM_DEU,,,,,,21.0,18.97715888,19.58710177,22.998,22.09,17.672274,20.953,19.031,20.443,21.169,20.0085,19.639,20.096,17.722,23.66175,23.241,24.86675,20.686,19.002,18.952,18.818,21.556,20.195,18.96,18.635,15.85,17.335,18.2437278,20.0793908,20.34297,18.5719818,17.4006496,18.4791744,18.7120174,19.737993,19.9146734,19.069143,18.3836866,18.3622344,17.5821604,13.846833,17.0591234,17.6381318,15.2294618,13.2058944,13.4551882,17.5336782,13.7134778,16.8989908,16.6523118,17.5339978,16.2122092
HYDRO_CONSUM_O_DEU,,,,3.82404851337,4.55944245825,4.64912521157,4.2940577635,4.43207262751,5.20387382903,4.99841607458,3.99879485903,4.7411413314,4.30624066615,4.62574105082,4.79001674435,4.52742453727,4.44381590261,4.54722360501,4.01004661266,5.35406390008,5.2588586686,5.62672534733,4.68072589039,4.29967868941,4.28836493642,4.25804407838,4.87758519256,4.56962483595,4.2901751369,4.21663574241,3.58645970041,3.92247816446,4.12810060189,4.54346535729,4.60310675657,4.20237629542,3.93733303163,4.18137629542,4.23406285921,4.46621554962,4.50619391773,4.31487147577,4.15976978775,4.15491568991,3.97840439879,3.13319296737,3.86005417025,3.99106933068,3.446047382,2.98816454722,3.04457351677,3.96743408608,3.10301801149,3.82382015658,3.76800285107,3.96750640358,3.66841860886
NUC_CONSUM_DEU,,,,,,84.63,91.786311,97.129,97.29,99.46,107.971227,140.556,134.932,148.777,140.534,167.356,163.039,167.065,165.06,164.842,171.305,169.606,170.004,161.6,170.328,161.613,154.1,151.2,153.5,158.8,147.4,152.5,161.705846,156.8489254,141.7478356,130.5093014,138.6630944,104.3376146,78.0731204,74.4403736,65.5441214,55.6004714,52.0737902,43.8802226,41.2639378,29.6364964,24.1431822,14.4602768,12.1047366,9.523807,6.2180958,6.4920986,5.3297964,2.0064076,1.5114348,0.3402938,0.1370014
