Date,BIOFUEL_PROD_D_CHN,BIOFUEL_PROD_O_CHN,C02_EMMISSIONS_CHN,COAL_CONSUM_O_CHN,COAL_PROD_CHN,COAL_PROD_O_CHN,ELEC_GEN_CHN,GAS_CONSUM_CHN,GAS_CONSUM_D_CHN,GAS_CONSUM_O_CHN,GAS_PROD_CHN,GAS_PROD_D_CHN,GAS_PROD_O_CHN,GAS_RESERVES_CHN,GEO_CAP_CHN,GEO_CONSUM_CHN,HYDRO_CONSUM_CHN,HYDRO_CONSUM_O_CHN,NUC_CONSUM_CHN,NUC_CONSUM_O_CHN,OIL_CONSUM_CHN,OIL_CONSUM_D_CHN,OIL_PROD_CHN,OIL_PROD_D_CHN,OIL_REF_CAP_CHN,OIL_REF_THR_CHN,OIL_RESERVES_CHN,PRIMARY_CONSUM_O_CHN,SOLAR_CAP_CHN,SOLAR_CONSUM_CHN,SOLAR_CONSUM_O_CHN,WIND_CAP_CHN,WIND_CONSUM_CHN,WIND_CONSUM_O_CHN
1992-12-31,0.0,0.0,2581.2196676429194,578.804562,1116.38,558.19,753.94,15.914208456243852,1.5355325139603049,14.766033247349,15.914208456243852,1.5355325139603049,14.682346660934,1.4099041297935104,,0.113,130.6860774,29.571,0.0,0.0,126.111,2590.842436944517,142.04,2844.68087431694,3326.303125846737,2426.0,15.1931109,31.585351376698323,,0.003,0.000678825179889,,0.131313131313,0.0297128866618
1991-12-31,0.0,0.0,2455.9254617655483,553.175217,1087.406,543.703,677.5500000000001,15.611848574237952,1.5104853778957918,14.77533175695,15.611848574237952,1.5104853778957918,14.403391372886,1.0096804326450344,,0.064,124.6889516,28.214,0.0,0.0,116.43199999999996,2391.65425232088,140.99,2831.388219178082,3160.206517722984,2282.0,15.513212,30.01539901084628,,0.002,0.000452550119926,,0.00909090909091,0.00205704599966
1990-12-31,0.0,0.0,2323.832797993768,527.47352,1079.883,539.9415,621.2,15.418338249754177,1.4917627702420804,14.180227142448,15.418338249754177,1.4917627702420804,14.224859988535,1.0068584070796462,29.3,0.064,126.7439726,28.679,0.0,0.0,107.756,2203.740143912638,138.31,2777.56794520548,3160.206517722984,2153.0,16.019715,28.577697765968967,,0.002,0.000452550119926,,0.0020202020202,0.000457121333258
1989-12-31,,,2309.6745626251995,519.939966,1054.2,527.1,584.8100000000001,15.16737954768928,1.467481888441173,13.975659931212,15.16737954768928,1.467481888441173,13.993327099455,1.0308456243854476,,0.0,118.4089842,26.793,0.0,0.0,108.92700000000002,2224.4563751337737,137.64,2764.112876712329,2699.069882010985,2114.0,16.058490700000004,28.211171320794264,,0.0,0.0,,0.0,0.0
1988-12-31,,,2210.865879230844,496.235908,979.9,489.95,545.21,14.372173058013766,1.3867443729622513,13.352659787905,14.372173058013766,1.3867443729622513,13.259674691889,0.9293534906588006,,0.0,109.1680188,24.702,0.0,0.0,104.061,2116.144407825053,137.05,2744.744535519126,2560.291794960218,2035.0,17.2836269,26.88160369573481,,0.0,0.0,,0.0,0.0
1987-12-31,,,2061.518819786585,461.92965,928.1,464.05,497.267,13.999262536873152,1.3544636474481957,12.915629836629,13.999262536873152,1.3544636474481957,12.915629836629,0.9010324483775812,,0.0,100.0242802,22.633,0.0,0.0,96.738,1965.2255449179163,134.14,2693.8252054794525,2435.719338867403,1952.0,17.4234833,25.02086013121654,,0.0,0.0,,0.0,0.0
1986-12-31,,,1916.3138131152016,425.745824,893.9999999999999,447.0,449.53,13.868239921337263,1.3417868818493284,12.794749211809,13.868239921337263,1.3417868818493284,12.794749211809,0.8718043264503442,,0.0,94.5486436,21.394,0.0,0.0,91.05800000000002,1846.257022169456,130.69,2624.5416438356165,2370.154888292237,1839.0,17.1612892,23.198782343851896,,0.0,0.0,,0.0,0.0
1985-12-31,,,1833.5220553805225,407.24544,872.3000000000001,436.15,410.69,13.031710914454276,1.260850609179638,12.022972914875,13.031710914454276,1.260850609179638,12.022972914875,0.8788593903638151,,0.0,92.387557,20.905,0.0,0.0,85.74500000000002,1734.4581106381202,124.9,2508.2657534246578,2348.300071433849,1697.0,17.087696,22.141335434107702,,0.0,0.0,,0.0,0.0
1984-12-31,,,1733.3494932924618,373.02377,789.2,394.6,,12.527777777777777,1.2087820866704613,11.558047434795,12.527777777777777,1.2087820866704613,11.558047434795,0.8967994100294985,,0.0,86.8146936,19.644,0.0,0.0,82.114,1642.9578354494388,114.61,2295.331420765028,2243.396950513584,1638.0,16.364591500000003,20.466520585737054,,0.0,0.0,,0.0,0.0
1983-12-31,,,1607.6963597595793,342.99265,714.5,357.25,,12.306047197640115,1.1906408304782194,11.35348022356,12.306047197640115,1.1906408304782194,11.35348022356,0.8799680432645036,,0.0,86.4169476,19.554,0.0,0.0,79.216,1585.992786875719,106.07,2130.118082191781,2237.933246298987,1602.0,14.880852900000002,19.071713671483632,,0.0,0.0,,0.0,0.0
