,Date,BIOFUEL_PROD_D_DEU,BIOFUEL_PROD_O_DEU,C02_EMMISSIONS_DEU,COAL_CONSUM_O_DEU,COAL_PROD_DEU,COAL_PROD_O_DEU,ELEC_GEN_DEU,GAS_CONSUM_DEU,GAS_CONSUM_D_DEU,GAS_CONSUM_O_DEU,GAS_PROD_DEU,GAS_PROD_D_DEU,GAS_PROD_O_DEU,GAS_RESERVES_DEU,GEO_CAP_DEU,GEO_CONSUM_DEU,GEO_CONSUM_O_DEU,HYDRO_CONSUM_DEU,HYDRO_CONSUM_O_DEU,NUC_CONSUM_DEU,NUC_CONSUM_O_DEU,OIL_CONSUM_DEU,OIL_CONSUM_D_DEU,OIL_REF_CAP_DEU,PRIMARY_CONSUM_O_DEU,SOLAR_CAP_DEU,SOLAR_CONSUM_DEU,SOLAR_CONSUM_O_DEU,WIND_CAP_DEU,WIND_CONSUM_DEU,WIND_CONSUM_O_DEU
1,2020-12-31,62.96857106281397,,604.8754564828467,,107.4,,573.6414870040898,87.11250000000001,8.405323864529715,,4.53242034,0.4373248483039962,,0.0196595380799999,40.0,51.092000000000006,,,,,,96.48238495109511,2049.323924541936,2061.5373972602742,12.356541053591837,53719.0,,,62188.0,,
2,2019-12-31,65.75371250171204,,681.4825449813659,,131.30000000000004,,607.0442265825111,89.28302777777776,8.638356137731112,,5.330759364,0.5157642949272655,,0.0218048544,40.0,50.323,,,,,,106.55064049614812,2269.879507964853,2062.441095890411,13.302726634360452,48912.0,,,60742.0,,
3,2018-12-31,62.955768361365685,3444.89055603,734.4905110583703,66.3991592624,168.842,37.5904930843,640.1751879319027,85.85072222222223,8.306271994749332,,5.541774084,0.5361804966067217,,0.0266406084,35.0,50.972,11.6389102593,,3.82404851337,,17.2195320632,106.00124644025972,2254.685576566269,2061.5373972602742,13.654258362229868,45156.0,,10.4457618681,58721.0,,25.2500339413
4,2017-12-31,61.27613953818803,3293.47616318,760.9787869453801,71.5331279259,175.122,39.4191304713,651.4172590008508,87.73847222222223,8.488916526469175,,6.376161456,0.616909560747572,,0.0326193588,32.0,51.08,11.5612979137,,4.55944245825,,17.2703081866,111.3047904040404,2374.47995696693,2068.8673972602737,14.005308187887014,42291.0,39.895,8.9154636376,55580.0,106.614,23.9156899127
5,2016-12-31,59.86959636814491,3227.64574138,770.5119393271207,76.5206362855,175.396,39.6364766072,648.2404801781418,84.88475000000001,8.190372390984516,,6.923041271999999,0.667991436575299,,0.0370154988,33.0,51.103,11.5633343893,21.0,4.64912521157,84.63,19.1505634249,109.02100000000002,2307.498743169399,2051.496301369863,13.825842507656803,40677.0,38.098,8.62062723447,49435.0,79.924,18.0848078925
6,2015-12-31,59.35852516334258,3191.2659358,755.6881733180594,78.6806391516,184.288,42.8125060379,646.066751728065,76.95361111111112,7.445454252702824,67.163466131652,7.524433223999999,0.7280077248866135,6.47101257264,0.0407961792,29.0,50.459,11.4176132507,18.97715888,4.2940577635,91.786311,20.7689530253,106.68699999999998,2269.128602739726,2049.488082191781,13.602316191231566,39222.0,38.726,8.76272797212,44580.0,80.624,18.2432004344
7,2014-12-31,64.38554748765368,3460.22676507,751.1595219105941,79.6126397248,185.795,44.1338356951,625.6566902939272,73.89502777777778,7.149528668995881,63.986815706506,8.082743004,0.782025591830175,6.95115898344,0.0450164735999999,29.0,48.385,10.9483187763,19.58710177,4.43207262751,97.129,21.9778702991,106.90600000000002,2272.6654794520546,2076.619123287672,13.348979909089046,37898.0,36.056,8.15857356202,38614.0,58.497,13.2364121826
8,2013-12-31,57.61150660559106,3073.43,797.6303640771227,82.837369829,190.56100000000004,45.1209038632,637.6456742434082,84.97433333333333,8.221479178849142,73.064775007165,8.604125208,0.8324706234798317,7.39954767888,0.05495175,26.0,45.593,10.3165588089,22.998,5.20387382903,97.29,22.0143005838,110.00799999999998,2336.157753424657,2061.1357534246577,13.926669715511077,36708.0,31.01,7.01678960945,33477.0,52.737,11.9330678373
9,2012-12-31,53.94398122883062,2885.661,773.0012643985496,80.487890513,196.202,47.7725948963,628.9241783524312,81.11005555555556,7.826159111659544,69.742094200822,9.461372508,0.91291031864196,8.13678035688,0.062425188,16.0,43.2284,9.7815088021,22.09,4.99841607458,99.46,22.5053174639,107.69,2276.32543715847,2096.5205753424657,13.542893116739004,34075.0,26.38,5.96913608182,30979.0,51.68,11.6938950989
10,2011-12-31,57.72378927497592,3079.42,763.6899146255529,78.3139390465,188.561,46.7310834779,612.9173988528877,80.86072222222222,7.82347702015947,69.527706124009,10.465450884,1.012558535794036,9.00028776024,0.069898626,6.0,36.9098,8.35176720822,17.672274,3.99879485903,107.971227,24.4311958637,108.445,2293.5989589041096,2077.4826575342463,13.358110761662864,25914.0,19.599,4.43476490021,28712.0,49.857,11.2813956646
